Area,Measure,ANZSIC06,Year,Value,Flags
"Manawatu District","Geographic Units","M Professional, Scientific and Technical Services","2000",84,
"Manawatu District","Employee Count","M Professional, Scientific and Technical Services","2000",180,
"Manawatu District","Employee Count","K Financial and Insurance Services","2000",55,
"Palmerston North City","Employee Count","K Financial and Insurance Services","2000",750,
"Palmerston North City","Employee Count","M Professional, Scientific and Technical Services","2000",2350,
"Palmerston North City","Employee Count","M Professional, Scientific and Technical Services","2001",2350,
"Palmerston North City","Employee Count","K Financial and Insurance Services","2001",710,
"Manawatu District","Employee Count","K Financial and Insurance Services","2001",65,
"Manawatu District","Employee Count","M Professional, Scientific and Technical Services","2001",170,
"Manawatu District","Geographic Units","M Professional, Scientific and Technical Services","2001",87,
"Manawatu District","Geographic Units","N Administrative and Support Services","2001",45,
"Rangitikei District","Geographic Units","N Administrative and Support Services","2001",15,
"Rangitikei District","Geographic Units","M Professional, Scientific and Technical Services","2001",57,
"Rangitikei District","Employee Count","M Professional, Scientific and Technical Services","2001",280,
"Rangitikei District","Employee Count","K Financial and Insurance Services","2001",60,
"Whanganui District","Employee Count","K Financial and Insurance Services","2001",200,
"Whanganui District","Employee Count","M Professional, Scientific and Technical Services","2001",520,
"Whanganui District","Geographic Units","M Professional, Scientific and Technical Services","2001",168,
"Whanganui District","Geographic Units","N Administrative and Support Services","2001",81,
"Ruapehu District","Geographic Units","N Administrative and Support Services","2001",27,
"Ruapehu District","Geographic Units","M Professional, Scientific and Technical Services","2001",36,
"Ruapehu District","Employee Count","M Professional, Scientific and Technical Services","2001",80,
"Ruapehu District","Employee Count","K Financial and Insurance Services","2001",45,
"South Taranaki District","Employee Count","K Financial and Insurance Services","2001",130,
"South Taranaki District","Employee Count","L Rental, Hiring and Real Estate Services","2001",110,
"South Taranaki District","Employee Count","M Professional, Scientific and Technical Services","2001",380,
"South Taranaki District","Geographic Units","M Professional, Scientific and Technical Services","2001",87,
"South Taranaki District","Geographic Units","N Administrative and Support Services","2001",27,
"Stratford District","Geographic Units","N Administrative and Support Services","2001",6,
"Stratford District","Geographic Units","M Professional, Scientific and Technical Services","2001",27,
"Stratford District","Employee Count","M Professional, Scientific and Technical Services","2001",75,
"Stratford District","Employee Count","K Financial and Insurance Services","2001",45,
"New Plymouth District","Employee Count","K Financial and Insurance Services","2001",430,
"New Plymouth District","Employee Count","M Professional, Scientific and Technical Services","2001",1200,
"New Plymouth District","Geographic Units","M Professional, Scientific and Technical Services","2001",468,
"New Plymouth District","Geographic Units","N Administrative and Support Services","2001",138,
"Central Hawke's Bay District","Geographic Units","N Administrative and Support Services","2001",9,
"Waimate District","Employee Count","K Financial and Insurance Services","2001",25,
"Central Hawke's Bay District","Employee Count","K Financial and Insurance Services","2001",30,
"Central Hawke's Bay District","Employee Count","M Professional, Scientific and Technical Services","2001",110,
"Napier City","Employee Count","M Professional, Scientific and Technical Services","2001",900,
"Napier City","Employee Count","K Financial and Insurance Services","2001",370,
"Napier City","Geographic Units","N Administrative and Support Services","2001",135,
"Hastings District","Geographic Units","N Administrative and Support Services","2001",132,
"Hastings District","Employee Count","K Financial and Insurance Services","2001",330,
"Hastings District","Employee Count","M Professional, Scientific and Technical Services","2001",1350,
"Wairoa District","Employee Count","M Professional, Scientific and Technical Services","2001",65,
"Wairoa District","Employee Count","K Financial and Insurance Services","2001",25,
"Wairoa District","Geographic Units","N Administrative and Support Services","2001",6,
"Gisborne District","Geographic Units","N Administrative and Support Services","2001",72,
"Gisborne District","Employee Count","K Financial and Insurance Services","2001",160,
"Gisborne District","Employee Count","M Professional, Scientific and Technical Services","2001",640,
"Opotiki District","Employee Count","M Professional, Scientific and Technical Services","2001",65,
"Opotiki District","Employee Count","K Financial and Insurance Services","2001",30,
"Opotiki District","Geographic Units","N Administrative and Support Services","2001",21,
"Kawerau District","Geographic Units","N Administrative and Support Services","2001",9,
"Kawerau District","Employee Count","K Financial and Insurance Services","2001",30,
"Kawerau District","Employee Count","M Professional, Scientific and Technical Services","2001",30,
"Whakatane District","Employee Count","M Professional, Scientific and Technical Services","2001",310,
"Whakatane District","Employee Count","K Financial and Insurance Services","2001",140,
"Whakatane District","Geographic Units","N Administrative and Support Services","2001",54,
"Rotorua District","Geographic Units","N Administrative and Support Services","2001",162,
"Rotorua District","Employee Count","K Financial and Insurance Services","2001",390,
"Rotorua District","Employee Count","M Professional, Scientific and Technical Services","2001",1500,
"Tauranga City","Employee Count","M Professional, Scientific and Technical Services","2001",2000,
"Tauranga City","Employee Count","K Financial and Insurance Services","2001",760,
"Tauranga City","Geographic Units","N Administrative and Support Services","2001",279,
"Western Bay of Plenty District","Geographic Units","N Administrative and Support Services","2001",99,
"Western Bay of Plenty District","Employee Count","K Financial and Insurance Services","2001",80,
"Western Bay of Plenty District","Employee Count","M Professional, Scientific and Technical Services","2001",300,
"Taupo District","Employee Count","M Professional, Scientific and Technical Services","2001",360,
"Taupo District","Employee Count","K Financial and Insurance Services","2001",130,
"Taupo District","Geographic Units","N Administrative and Support Services","2001",84,
"Waitomo District","Geographic Units","N Administrative and Support Services","2001",15,
"Waitomo District","Employee Count","K Financial and Insurance Services","2001",40,
"South Waikato District","Employee Count","K Financial and Insurance Services","2001",60,
"South Waikato District","Geographic Units","N Administrative and Support Services","2001",33,
"Otorohanga District","Geographic Units","N Administrative and Support Services","2001",12,
"Otorohanga District","Employee Count","K Financial and Insurance Services","2001",18,
"Waipa District","Employee Count","K Financial and Insurance Services","2001",140,
"Waipa District","Geographic Units","N Administrative and Support Services","2001",117,
"Hamilton City","Geographic Units","N Administrative and Support Services","2001",336,
"Hamilton City","Employee Count","K Financial and Insurance Services","2001",1500,
"Matamata-Piako District","Employee Count","K Financial and Insurance Services","2001",150,
"Matamata-Piako District","Geographic Units","N Administrative and Support Services","2001",42,
"Waikato District","Geographic Units","N Administrative and Support Services","2001",87,
"Waikato District","Employee Count","K Financial and Insurance Services","2001",60,
"Hauraki District","Employee Count","K Financial and Insurance Services","2001",45,
"Hauraki District","Geographic Units","N Administrative and Support Services","2001",21,
"Thames-Coromandel District","Employee Count","K Financial and Insurance Services","2001",110,
"Thames-Coromandel District","Geographic Units","N Administrative and Support Services","2001",66,
"Auckland","Geographic Units","N Administrative and Support Services","2001",4935,
"Auckland","Employee Count","K Financial and Insurance Services","2001",18100,
"Kaipara District","Employee Count","K Financial and Insurance Services","2001",35,
"Kaipara District","Geographic Units","N Administrative and Support Services","2001",18,
"Whangarei District","Geographic Units","N Administrative and Support Services","2001",153,
"Whangarei District","Employee Count","K Financial and Insurance Services","2001",460,
"Far North District","Employee Count","K Financial and Insurance Services","2001",170,
"Far North District","Geographic Units","N Administrative and Support Services","2001",105,
"Total New Zealand (Territorial Authority)","Geographic Units","N Administrative and Support Services","2001",11409,
"Total New Zealand (Territorial Authority)","Employee Count","K Financial and Insurance Services","2001",41100,
"Invercargill City","Employee Count","K Financial and Insurance Services","2001",470,
"Invercargill City","Employee Count","I Transport, Postal and Warehousing","2001",870,
"Invercargill City","Geographic Units","L Rental, Hiring and Real Estate Services","2001",522,
"Invercargill City","Geographic Units","K Financial and Insurance Services","2001",168,
"Invercargill City","Employee Count","J Information Media and Telecommunications","2001",700,
"Gore District","Employee Count","J Information Media and Telecommunications","2001",80,
"Gore District","Geographic Units","K Financial and Insurance Services","2001",27,
"Gore District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",201,
"Gore District","Employee Count","I Transport, Postal and Warehousing","2001",310,
"Gore District","Employee Count","K Financial and Insurance Services","2001",55,
"Southland District","Employee Count","K Financial and Insurance Services","2001",35,
"Southland District","Employee Count","I Transport, Postal and Warehousing","2001",1050,
"Southland District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",672,
"Southland District","Geographic Units","K Financial and Insurance Services","2001",30,
"Southland District","Employee Count","J Information Media and Telecommunications","2001",20,
"Clutha District","Employee Count","J Information Media and Telecommunications","2001",40,
"Clutha District","Geographic Units","K Financial and Insurance Services","2001",24,
"Clutha District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",267,
"Clutha District","Employee Count","I Transport, Postal and Warehousing","2001",280,
"Clutha District","Employee Count","K Financial and Insurance Services","2001",55,
"Dunedin City","Employee Count","K Financial and Insurance Services","2001",940,
"Dunedin City","Employee Count","I Transport, Postal and Warehousing","2001",1950,
"Dunedin City","Geographic Units","L Rental, Hiring and Real Estate Services","2001",1227,
"Dunedin City","Geographic Units","K Financial and Insurance Services","2001",345,
"Dunedin City","Employee Count","J Information Media and Telecommunications","2001",1200,
"Queenstown-Lakes District","Employee Count","J Information Media and Telecommunications","2001",120,
"Queenstown-Lakes District","Geographic Units","K Financial and Insurance Services","2001",54,
"Queenstown-Lakes District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",546,
"Queenstown-Lakes District","Employee Count","I Transport, Postal and Warehousing","2001",470,
"Queenstown-Lakes District","Employee Count","K Financial and Insurance Services","2001",120,
"Central Otago District","Employee Count","K Financial and Insurance Services","2001",70,
"Central Otago District","Employee Count","I Transport, Postal and Warehousing","2001",260,
"Central Otago District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",246,
"Central Otago District","Geographic Units","K Financial and Insurance Services","2001",24,
"Central Otago District","Employee Count","J Information Media and Telecommunications","2001",45,
"Waitaki District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",252,
"Waitaki District","Employee Count","I Transport, Postal and Warehousing","2001",220,
"Waitaki District","Employee Count","K Financial and Insurance Services","2001",85,
"Chatham Islands Territory","Employee Count","K Financial and Insurance Services","2001",3,
"Chatham Islands Territory","Employee Count","I Transport, Postal and Warehousing","2001",25,
"Chatham Islands Territory","Geographic Units","L Rental, Hiring and Real Estate Services","2001",12,
"Waimate District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",120,
"Waimate District","Employee Count","I Transport, Postal and Warehousing","2001",85,
"Mackenzie District","Employee Count","I Transport, Postal and Warehousing","2001",45,
"Mackenzie District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",57,
"Timaru District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",549,
"Timaru District","Employee Count","I Transport, Postal and Warehousing","2001",840,
"Ashburton District","Employee Count","I Transport, Postal and Warehousing","2001",360,
"Ashburton District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",468,
"Selwyn District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",318,
"Selwyn District","Employee Count","I Transport, Postal and Warehousing","2001",210,
"Christchurch City","Employee Count","I Transport, Postal and Warehousing","2001",9700,
"Christchurch City","Geographic Units","L Rental, Hiring and Real Estate Services","2001",4173,
"Waimakariri District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",414,
"Waimakariri District","Employee Count","I Transport, Postal and Warehousing","2001",300,
"Hurunui District","Employee Count","I Transport, Postal and Warehousing","2001",120,
"Hurunui District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",192,
"Westland District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",66,
"Westland District","Employee Count","I Transport, Postal and Warehousing","2001",110,
"Grey District","Employee Count","I Transport, Postal and Warehousing","2001",240,
"Grey District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",72,
"Buller District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",57,
"Buller District","Employee Count","I Transport, Postal and Warehousing","2001",230,
"Kaikoura District","Employee Count","I Transport, Postal and Warehousing","2001",90,
"Kaikoura District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",54,
"Marlborough District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",570,
"Marlborough District","Employee Count","I Transport, Postal and Warehousing","2001",650,
"Nelson City","Employee Count","I Transport, Postal and Warehousing","2001",1300,
"Nelson City","Geographic Units","L Rental, Hiring and Real Estate Services","2001",684,
"Tasman District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",474,
"Tasman District","Employee Count","I Transport, Postal and Warehousing","2001",400,
"South Wairarapa District","Employee Count","I Transport, Postal and Warehousing","2001",50,
"South Wairarapa District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",144,
"Carterton District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",96,
"Carterton District","Employee Count","I Transport, Postal and Warehousing","2001",40,
"Masterton District","Employee Count","I Transport, Postal and Warehousing","2001",330,
"Masterton District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",318,
"Wellington City","Geographic Units","L Rental, Hiring and Real Estate Services","2001",2721,
"Lower Hutt City","Geographic Units","L Rental, Hiring and Real Estate Services","2001",1107,
"Upper Hutt City","Geographic Units","L Rental, Hiring and Real Estate Services","2001",243,
"Porirua City","Geographic Units","L Rental, Hiring and Real Estate Services","2001",294,
"Kapiti Coast District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",471,
"Horowhenua District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",297,
"Tararua District","Geographic Units","L Rental, Hiring and Real Estate Services","2001",393,
"Tararua District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",414,
"Horowhenua District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",306,
"Kapiti Coast District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",474,
"Porirua City","Geographic Units","L Rental, Hiring and Real Estate Services","2002",294,
"Upper Hutt City","Geographic Units","L Rental, Hiring and Real Estate Services","2002",246,
"Lower Hutt City","Geographic Units","L Rental, Hiring and Real Estate Services","2002",1104,
"Wellington City","Geographic Units","L Rental, Hiring and Real Estate Services","2002",2751,
"Masterton District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",357,
"Masterton District","Employee Count","I Transport, Postal and Warehousing","2002",340,
"Carterton District","Employee Count","I Transport, Postal and Warehousing","2002",50,
"Carterton District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",108,
"South Wairarapa District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",159,
"South Wairarapa District","Employee Count","I Transport, Postal and Warehousing","2002",60,
"Tasman District","Employee Count","I Transport, Postal and Warehousing","2002",410,
"Tasman District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",513,
"Nelson City","Geographic Units","L Rental, Hiring and Real Estate Services","2002",705,
"Nelson City","Employee Count","I Transport, Postal and Warehousing","2002",1350,
"Marlborough District","Employee Count","I Transport, Postal and Warehousing","2002",650,
"Marlborough District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",615,
"Kaikoura District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",57,
"Kaikoura District","Employee Count","I Transport, Postal and Warehousing","2002",95,
"Buller District","Employee Count","I Transport, Postal and Warehousing","2002",230,
"Buller District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",54,
"Grey District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",90,
"Grey District","Employee Count","I Transport, Postal and Warehousing","2002",290,
"Westland District","Employee Count","I Transport, Postal and Warehousing","2002",120,
"Westland District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",75,
"Hurunui District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",204,
"Hurunui District","Employee Count","I Transport, Postal and Warehousing","2002",120,
"Waimakariri District","Employee Count","I Transport, Postal and Warehousing","2002",310,
"Waimakariri District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",435,
"Christchurch City","Geographic Units","L Rental, Hiring and Real Estate Services","2002",4275,
"Christchurch City","Employee Count","I Transport, Postal and Warehousing","2002",9600,
"Selwyn District","Employee Count","I Transport, Postal and Warehousing","2002",240,
"Selwyn District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",360,
"Ashburton District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",495,
"Ashburton District","Employee Count","I Transport, Postal and Warehousing","2002",370,
"Timaru District","Employee Count","I Transport, Postal and Warehousing","2002",850,
"Timaru District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",573,
"Mackenzie District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",60,
"Mackenzie District","Employee Count","I Transport, Postal and Warehousing","2002",45,
"Waimate District","Employee Count","I Transport, Postal and Warehousing","2002",90,
"Waimate District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",147,
"Chatham Islands Territory","Geographic Units","L Rental, Hiring and Real Estate Services","2002",15,
"Chatham Islands Territory","Employee Count","I Transport, Postal and Warehousing","2002",25,
"Chatham Islands Territory","Employee Count","K Financial and Insurance Services","2002",3,
"Waitaki District","Employee Count","K Financial and Insurance Services","2002",85,
"Waitaki District","Employee Count","I Transport, Postal and Warehousing","2002",210,
"Waitaki District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",291,
"Central Otago District","Employee Count","J Information Media and Telecommunications","2002",50,
"Central Otago District","Geographic Units","K Financial and Insurance Services","2002",30,
"Central Otago District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",294,
"Central Otago District","Employee Count","I Transport, Postal and Warehousing","2002",270,
"Central Otago District","Employee Count","K Financial and Insurance Services","2002",70,
"Queenstown-Lakes District","Employee Count","K Financial and Insurance Services","2002",140,
"Queenstown-Lakes District","Employee Count","I Transport, Postal and Warehousing","2002",540,
"Queenstown-Lakes District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",630,
"Queenstown-Lakes District","Geographic Units","K Financial and Insurance Services","2002",63,
"Queenstown-Lakes District","Employee Count","J Information Media and Telecommunications","2002",150,
"Dunedin City","Employee Count","J Information Media and Telecommunications","2002",1200,
"Dunedin City","Geographic Units","K Financial and Insurance Services","2002",354,
"Dunedin City","Geographic Units","L Rental, Hiring and Real Estate Services","2002",1260,
"Dunedin City","Employee Count","I Transport, Postal and Warehousing","2002",2050,
"Dunedin City","Employee Count","K Financial and Insurance Services","2002",1300,
"Clutha District","Employee Count","K Financial and Insurance Services","2002",60,
"Clutha District","Employee Count","I Transport, Postal and Warehousing","2002",310,
"Clutha District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",282,
"Clutha District","Geographic Units","K Financial and Insurance Services","2002",24,
"Clutha District","Employee Count","J Information Media and Telecommunications","2002",25,
"Southland District","Employee Count","J Information Media and Telecommunications","2002",18,
"Southland District","Geographic Units","K Financial and Insurance Services","2002",33,
"Southland District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",861,
"Southland District","Employee Count","I Transport, Postal and Warehousing","2002",1100,
"Southland District","Employee Count","K Financial and Insurance Services","2002",35,
"Gore District","Employee Count","K Financial and Insurance Services","2002",65,
"Gore District","Employee Count","I Transport, Postal and Warehousing","2002",320,
"Gore District","Geographic Units","L Rental, Hiring and Real Estate Services","2002",231,
"Gore District","Geographic Units","K Financial and Insurance Services","2002",27,
"Gore District","Employee Count","J Information Media and Telecommunications","2002",75,
"Invercargill City","Employee Count","J Information Media and Telecommunications","2002",720,
"Invercargill City","Geographic Units","K Financial and Insurance Services","2002",168,
"Invercargill City","Geographic Units","L Rental, Hiring and Real Estate Services","2002",555,
"Invercargill City","Employee Count","I Transport, Postal and Warehousing","2002",990,
"Invercargill City","Employee Count","K Financial and Insurance Services","2002",490,
"Total New Zealand (Territorial Authority)","Employee Count","K Financial and Insurance Services","2002",41700,
"Total New Zealand (Territorial Authority)","Geographic Units","N Administrative and Support Services","2002",11469,
"Far North District","Geographic Units","N Administrative and Support Services","2002",108,
"Far North District","Employee Count","K Financial and Insurance Services","2002",150,
"Whangarei District","Employee Count","K Financial and Insurance Services","2002",460,
"Whangarei District","Geographic Units","N Administrative and Support Services","2002",156,
"Kaipara District","Geographic Units","N Administrative and Support Services","2002",18,
"Kaipara District","Employee Count","K Financial and Insurance Services","2002",35,
"Auckland","Employee Count","K Financial and Insurance Services","2002",18600,
"Auckland","Geographic Units","N Administrative and Support Services","2002",4974,
"Thames-Coromandel District","Geographic Units","N Administrative and Support Services","2002",69,
"Thames-Coromandel District","Employee Count","K Financial and Insurance Services","2002",110,
"Hauraki District","Geographic Units","N Administrative and Support Services","2002",24,
"Hauraki District","Employee Count","K Financial and Insurance Services","2002",40,
"Waikato District","Employee Count","K Financial and Insurance Services","2002",65,
"Waikato District","Geographic Units","N Administrative and Support Services","2002",81,
"Matamata-Piako District","Geographic Units","N Administrative and Support Services","2002",42,
"Matamata-Piako District","Employee Count","K Financial and Insurance Services","2002",160,
"Hamilton City","Employee Count","K Financial and Insurance Services","2002",1300,
"Hamilton City","Geographic Units","N Administrative and Support Services","2002",336,
"Waipa District","Geographic Units","N Administrative and Support Services","2002",108,
"Waipa District","Employee Count","K Financial and Insurance Services","2002",150,
"Otorohanga District","Employee Count","K Financial and Insurance Services","2002",18,
"Otorohanga District","Geographic Units","N Administrative and Support Services","2002",15,
"South Waikato District","Geographic Units","N Administrative and Support Services","2002",33,
"South Waikato District","Employee Count","K Financial and Insurance Services","2002",60,
"Waitomo District","Employee Count","K Financial and Insurance Services","2002",40,
"Waitomo District","Geographic Units","N Administrative and Support Services","2002",15,
"Taupo District","Geographic Units","N Administrative and Support Services","2002",96,
"Taupo District","Employee Count","K Financial and Insurance Services","2002",140,
"Taupo District","Employee Count","M Professional, Scientific and Technical Services","2002",430,
"Western Bay of Plenty District","Employee Count","M Professional, Scientific and Technical Services","2002",330,
"Western Bay of Plenty District","Employee Count","K Financial and Insurance Services","2002",110,
"Western Bay of Plenty District","Geographic Units","N Administrative and Support Services","2002",105,
"Tauranga City","Geographic Units","N Administrative and Support Services","2002",291,
"Tauranga City","Employee Count","K Financial and Insurance Services","2002",800,
"Tauranga City","Employee Count","M Professional, Scientific and Technical Services","2002",2200,
"Rotorua District","Employee Count","M Professional, Scientific and Technical Services","2002",1400,
"Rotorua District","Employee Count","K Financial and Insurance Services","2002",390,
"Rotorua District","Geographic Units","N Administrative and Support Services","2002",156,
"Whakatane District","Geographic Units","N Administrative and Support Services","2002",54,
"Whakatane District","Employee Count","K Financial and Insurance Services","2002",150,
"Whakatane District","Employee Count","M Professional, Scientific and Technical Services","2002",340,
"Kawerau District","Employee Count","M Professional, Scientific and Technical Services","2002",9,
"Kawerau District","Employee Count","K Financial and Insurance Services","2002",30,
"Kawerau District","Geographic Units","N Administrative and Support Services","2002",9,
"Opotiki District","Geographic Units","N Administrative and Support Services","2002",18,
"Opotiki District","Employee Count","K Financial and Insurance Services","2002",20,
"Opotiki District","Employee Count","M Professional, Scientific and Technical Services","2002",60,
"Gisborne District","Employee Count","M Professional, Scientific and Technical Services","2002",660,
"Gisborne District","Employee Count","K Financial and Insurance Services","2002",180,
"Gisborne District","Geographic Units","N Administrative and Support Services","2002",75,
"Wairoa District","Geographic Units","N Administrative and Support Services","2002",9,
"Wairoa District","Employee Count","K Financial and Insurance Services","2002",25,
"Wairoa District","Employee Count","M Professional, Scientific and Technical Services","2002",85,
"Hastings District","Employee Count","M Professional, Scientific and Technical Services","2002",1550,
"Hastings District","Employee Count","K Financial and Insurance Services","2002",360,
"Hastings District","Geographic Units","N Administrative and Support Services","2002",135,
"Napier City","Geographic Units","N Administrative and Support Services","2002",135,
"Napier City","Employee Count","K Financial and Insurance Services","2002",370,
"Napier City","Employee Count","M Professional, Scientific and Technical Services","2002",1050,
"Central Hawke's Bay District","Employee Count","M Professional, Scientific and Technical Services","2002",120,
"Central Hawke's Bay District","Employee Count","K Financial and Insurance Services","2002",40,
"Waimate District","Employee Count","K Financial and Insurance Services","2002",12,
"Central Hawke's Bay District","Geographic Units","N Administrative and Support Services","2002",6,
"New Plymouth District","Geographic Units","N Administrative and Support Services","2002",153,
"New Plymouth District","Geographic Units","M Professional, Scientific and Technical Services","2002",489,
"New Plymouth District","Employee Count","M Professional, Scientific and Technical Services","2002",1350,
"New Plymouth District","Employee Count","K Financial and Insurance Services","2002",400,
"Stratford District","Employee Count","K Financial and Insurance Services","2002",55,
"Stratford District","Employee Count","M Professional, Scientific and Technical Services","2002",100,
"Stratford District","Geographic Units","M Professional, Scientific and Technical Services","2002",24,
"Stratford District","Geographic Units","N Administrative and Support Services","2002",9,
"South Taranaki District","Geographic Units","N Administrative and Support Services","2002",27,
"South Taranaki District","Geographic Units","M Professional, Scientific and Technical Services","2002",93,
"South Taranaki District","Employee Count","M Professional, Scientific and Technical Services","2002",380,
"South Taranaki District","Employee Count","L Rental, Hiring and Real Estate Services","2002",110,
"South Taranaki District","Employee Count","K Financial and Insurance Services","2002",120,
"Ruapehu District","Employee Count","K Financial and Insurance Services","2002",45,
"Ruapehu District","Employee Count","M Professional, Scientific and Technical Services","2002",90,
"Ruapehu District","Geographic Units","M Professional, Scientific and Technical Services","2002",36,
"Ruapehu District","Geographic Units","N Administrative and Support Services","2002",24,
"Whanganui District","Geographic Units","N Administrative and Support Services","2002",81,
"Whanganui District","Geographic Units","M Professional, Scientific and Technical Services","2002",171,
"Whanganui District","Employee Count","M Professional, Scientific and Technical Services","2002",540,
"Whanganui District","Employee Count","K Financial and Insurance Services","2002",200,
"Rangitikei District","Employee Count","K Financial and Insurance Services","2002",50,
"Rangitikei District","Employee Count","M Professional, Scientific and Technical Services","2002",200,
"Rangitikei District","Geographic Units","M Professional, Scientific and Technical Services","2002",60,
"Rangitikei District","Geographic Units","N Administrative and Support Services","2002",15,
"Manawatu District","Geographic Units","N Administrative and Support Services","2002",51,
"Manawatu District","Geographic Units","M Professional, Scientific and Technical Services","2002",87,
"Manawatu District","Employee Count","M Professional, Scientific and Technical Services","2002",180,
"Manawatu District","Employee Count","K Financial and Insurance Services","2002",55,
"Palmerston North City","Employee Count","K Financial and Insurance Services","2002",680,
"Palmerston North City","Employee Count","M Professional, Scientific and Technical Services","2002",2450,
"Palmerston North City","Employee Count","K Financial and Insurance Services","2003",700,
"Manawatu District","Employee Count","K Financial and Insurance Services","2003",65,
"Manawatu District","Employee Count","M Professional, Scientific and Technical Services","2003",200,
"Manawatu District","Geographic Units","M Professional, Scientific and Technical Services","2003",99,
"Manawatu District","Geographic Units","N Administrative and Support Services","2003",42,
"Rangitikei District","Geographic Units","N Administrative and Support Services","2003",12,
"Rangitikei District","Geographic Units","M Professional, Scientific and Technical Services","2003",51,
"Rangitikei District","Employee Count","M Professional, Scientific and Technical Services","2003",140,
"Rangitikei District","Employee Count","K Financial and Insurance Services","2003",40,
"Whanganui District","Employee Count","K Financial and Insurance Services","2003",190,
"Whanganui District","Employee Count","M Professional, Scientific and Technical Services","2003",570,
"Whanganui District","Geographic Units","M Professional, Scientific and Technical Services","2003",180,
"Whanganui District","Geographic Units","N Administrative and Support Services","2003",87,
"Ruapehu District","Geographic Units","N Administrative and Support Services","2003",24,
"Ruapehu District","Geographic Units","M Professional, Scientific and Technical Services","2003",42,
"Ruapehu District","Employee Count","M Professional, Scientific and Technical Services","2003",95,
"Ruapehu District","Employee Count","K Financial and Insurance Services","2003",45,
"South Taranaki District","Employee Count","K Financial and Insurance Services","2003",120,
"South Taranaki District","Employee Count","L Rental, Hiring and Real Estate Services","2003",140,
"South Taranaki District","Employee Count","M Professional, Scientific and Technical Services","2003",380,
"South Taranaki District","Geographic Units","M Professional, Scientific and Technical Services","2003",87,
"South Taranaki District","Geographic Units","N Administrative and Support Services","2003",24,
"Stratford District","Geographic Units","N Administrative and Support Services","2003",9,
"Stratford District","Geographic Units","M Professional, Scientific and Technical Services","2003",27,
"Stratford District","Employee Count","M Professional, Scientific and Technical Services","2003",110,
"Stratford District","Employee Count","K Financial and Insurance Services","2003",55,
"New Plymouth District","Employee Count","K Financial and Insurance Services","2003",440,
"New Plymouth District","Employee Count","M Professional, Scientific and Technical Services","2003",1600,
"New Plymouth District","Geographic Units","M Professional, Scientific and Technical Services","2003",480,
"New Plymouth District","Geographic Units","N Administrative and Support Services","2003",165,
"Central Hawke's Bay District","Geographic Units","N Administrative and Support Services","2003",12,
"Waimate District","Employee Count","K Financial and Insurance Services","2003",12,
"Central Hawke's Bay District","Employee Count","K Financial and Insurance Services","2003",40,
"Central Hawke's Bay District","Employee Count","M Professional, Scientific and Technical Services","2003",120,
