Area,Measure,ANZSIC06,Year,Value,Flags
"Auckland","Geographic Units","Total Industry","2015",178830,
"Auckland","Employee Count","Total Industry","2015",697000,
"Auckland","Employee Count","Total Industry","2016",724400,
"Auckland","Geographic Units","Total Industry","2016",184776,
"Thames-Coromandel District","Geographic Units","Total Industry","2016",4227,
"Thames-Coromandel District","Employee Count","Total Industry","2016",10000,
"Hauraki District","Employee Count","Total Industry","2016",5300,
"Hauraki District","Geographic Units","Total Industry","2016",2766,
"Kaipara District","Employee Count","Total Industry","2016",6000,
"Waikato District","Employee Count","Total Industry","2000",11900,
"Matamata-Piako District","Geographic Units","Total Industry","2000",5052,
"Matamata-Piako District","Employee Count","Total Industry","2000",10600,
"Hamilton City","Employee Count","Total Industry","2000",58200,
"Hamilton City","Geographic Units","Total Industry","2000",10131,
"Waipa District","Geographic Units","Total Industry","2000",5610,
"Waipa District","Employee Count","Total Industry","2000",11900,
"Otorohanga District","Employee Count","Total Industry","2000",2750,
"Otorohanga District","Geographic Units","Total Industry","2000",1680,
"South Waikato District","Geographic Units","Total Industry","2000",2274,
"South Waikato District","Employee Count","Total Industry","2000",8800,
"Waitomo District","Employee Count","Total Industry","2000",4000,
"Waitomo District","Geographic Units","Total Industry","2000",1464,
"Taupo District","Geographic Units","Total Industry","2000",3540,
"Taupo District","Employee Count","Total Industry","2000",12200,
"Taupo District","Employee Count","Total Industry","2001",12700,
"Taupo District","Geographic Units","Total Industry","2001",3594,
"Waitomo District","Geographic Units","Total Industry","2001",1470,
"Waitomo District","Employee Count","Total Industry","2001",4050,
"South Waikato District","Employee Count","Total Industry","2001",8900,
"South Waikato District","Geographic Units","Total Industry","2001",2223,
"Otorohanga District","Geographic Units","Total Industry","2001",1722,
"Otorohanga District","Employee Count","Total Industry","2001",2950,
"Waipa District","Employee Count","Total Industry","2001",11300,
"Waipa District","Geographic Units","Total Industry","2001",5625,
"Hamilton City","Geographic Units","Total Industry","2001",10074,
"Hamilton City","Employee Count","Total Industry","2001",61100,
"Matamata-Piako District","Employee Count","Total Industry","2001",10800,
"Matamata-Piako District","Geographic Units","Total Industry","2001",5007,
"Waikato District","Employee Count","Total Industry","2001",12000,
"Waikato District","Employee Count","Total Industry","2002",13100,
"Matamata-Piako District","Geographic Units","Total Industry","2002",5052,
"Matamata-Piako District","Employee Count","Total Industry","2002",11600,
"Hamilton City","Employee Count","Total Industry","2002",63500,
"Hamilton City","Geographic Units","Total Industry","2002",10113,
"Waipa District","Geographic Units","Total Industry","2002",5691,
"Waipa District","Employee Count","Total Industry","2002",12500,
"Otorohanga District","Employee Count","Total Industry","2002",3200,
"Otorohanga District","Geographic Units","Total Industry","2002",1752,
"South Waikato District","Geographic Units","Total Industry","2002",2238,
"South Waikato District","Employee Count","Total Industry","2002",8800,
"Waitomo District","Employee Count","Total Industry","2002",4150,
"Waitomo District","Geographic Units","Total Industry","2002",1509,
"Taupo District","Geographic Units","Total Industry","2002",3654,
"Taupo District","Employee Count","Total Industry","2002",12800,
"Taupo District","Employee Count","Total Industry","2003",13400,
"Taupo District","Geographic Units","Total Industry","2003",3771,
"Waitomo District","Geographic Units","Total Industry","2003",1545,
"Waitomo District","Employee Count","Total Industry","2003",4200,
"South Waikato District","Employee Count","Total Industry","2003",9000,
"South Waikato District","Geographic Units","Total Industry","2003",2211,
"Otorohanga District","Geographic Units","Total Industry","2003",1773,
"Otorohanga District","Employee Count","Total Industry","2003",3150,
"Waipa District","Employee Count","Total Industry","2003",12700,
"Waipa District","Geographic Units","Total Industry","2003",5796,
"Hamilton City","Geographic Units","Total Industry","2003",10593,
"Hamilton City","Employee Count","Total Industry","2003",66400,
"Matamata-Piako District","Employee Count","Total Industry","2003",11700,
"Matamata-Piako District","Geographic Units","Total Industry","2003",5031,
"Waikato District","Employee Count","Total Industry","2003",13100,
"Waikato District","Employee Count","Total Industry","2004",13500,
"Matamata-Piako District","Geographic Units","Total Industry","2004",5088,
"Matamata-Piako District","Employee Count","Total Industry","2004",12000,
"Hamilton City","Employee Count","Total Industry","2004",69900,
"Hamilton City","Geographic Units","Total Industry","2004",11628,
"Waipa District","Geographic Units","Total Industry","2004",6099,
"Waipa District","Employee Count","Total Industry","2004",13800,
"Otorohanga District","Employee Count","Total Industry","2004",3350,
"Otorohanga District","Geographic Units","Total Industry","2004",1833,
"South Waikato District","Geographic Units","Total Industry","2004",2265,
"South Waikato District","Employee Count","Total Industry","2004",8700,
"Waitomo District","Employee Count","Total Industry","2004",4400,
"Waitomo District","Geographic Units","Total Industry","2004",1620,
"Taupo District","Geographic Units","Total Industry","2004",4080,
"Taupo District","Employee Count","Total Industry","2004",13900,
"Taupo District","Employee Count","Total Industry","2005",14200,
"Taupo District","Geographic Units","Total Industry","2005",4239,
"Waitomo District","Geographic Units","Total Industry","2005",1620,
"Waitomo District","Employee Count","Total Industry","2005",4650,
"South Waikato District","Employee Count","Total Industry","2005",8800,
"South Waikato District","Geographic Units","Total Industry","2005",2352,
"Otorohanga District","Geographic Units","Total Industry","2005",1854,
"Otorohanga District","Employee Count","Total Industry","2005",3350,
"Waipa District","Employee Count","Total Industry","2005",14200,
"Waipa District","Geographic Units","Total Industry","2005",6333,
"Hamilton City","Geographic Units","Total Industry","2005",12234,
"Hamilton City","Employee Count","Total Industry","2005",73100,
"Matamata-Piako District","Employee Count","Total Industry","2005",12300,
